name;calories;fat;carbohydrate;protein
Merluza, congelada, cruda;84.47;1.8775;16.7033;0.0
Merluza, rebozada, frita;148.57;10.29;10.65;3.52
Mermelada de albaricoque;15.03;0.0;0.3;3.4
Mermelada de albaricoque y melocotón, baja en calorías;220.63;0.0;0.7;53.6
Mermelada de ciruela;15.03;0.0;0.3;3.4
Mermelada de frambuesa;251.92;0.3;0.45;60.9
Mermelada de fresa;248.99;0.63;0.31;59.6
Mermelada de fresa, baja en calorías;220.63;0.0;0.7;53.6
Mermelada de grosella roja;240.54;0.0;0.5;58.7
Mermelada de mora;240.54;0.0;0.5;58.7
Mermelada de naranja;18.69;0.0;0.3;4.3
Mero, crudo;87.67;1.2;19.4;0.0
Mero, plancha;146.1;9.79;14.33;0.32
Miel;314.08;0.0;0.5;76.8
Mijo;343.54;4.2;11.01;64.4
Miso;208.2;6.01;11.69;26.47
Mojo picon;708.78;78.9;0.94;1.78
Molleja de cordero;131.14;7.8;15.3;0.0
Morcilla;322.99;30.0;11.0;3.2
Morcilla, frita;305.73;21.9;12.58;15.0
Mortadela;293.6;25.39;14.0;3.0
Mostaza;132.72;10.0;5.9;5.0
Mousse de chocolate;245.94;8.1;5.1;37.8
Mousse de queso fresco, con frutas;134.7;5.4;5.4;16.0
Mousse de queso fresco, desnatado, azucarado;105.62;2.8;8.5;11.4
Mousse de queso fresco, desnatado, con frutas;116.68;1.8;5.6;19.2
Mousse de yogur, con frutas;144.57;6.7;3.3;17.7
Mousse de yogur, natural;165.2;9.4;4.4;15.8
Muesli;381.69;11.0;9.0;61.0
Mújol, al horno;147.76;5.31429;24.8;0.0
Mújol, crudo;127.58;6.8;15.8;0.8
Nabo, pelado, crudo;18.43;0.2;0.9;3.2
Napolitana, rellena con crema de cacao;466.3;27.0;7.0;49.0
Naranja;38.19;0.0;0.8;8.6
Nata montada;303.21;31.7;2.36;3.27
Nata, líquida, para cocinar, 18% de grasa;200.78;19.9894;2.51;3.4
Natillas sabor vainilla;103.58;2.9;3.7;15.48
Nécora;29.64;5.1;19.5;0.0
Néctar de albaricoque, envasado;57.7;0.0;0.4;13.8
Néctar de ciruela;15.03;0.0;0.3;3.4
Néctar de frutas exóticas, envasado;55.26;0.0;0.4;13.2
Néctar de mango, envasado;56.48;0.0;0.2;13.7
Néctar de maracuyá, envasado;52.82;0.0;0.2;12.8
Néctar de melocotón;17.07;0.0;0.2;4.0
Néctar de naranja, envasado;42.26;0.0;0.3;10.1
Néctar de pera, envasado;64.6;0.0;0.2;15.7
Néctar de piña;22.35;0.0;0.2;5.3
Néctar de pomelo;14.63;0.0;0.2;3.4
Nectarina;43.14;0.1;1.4;9.0
Níscalo, crudo;14.01;0.67;1.89;0.1
Níspero, con piel, crudo;52.56;0.2;0.4;12.1
Nispero, conserva en su jugo;0.0;0.0;0.0;0.0
Nispero, sin piel , congelado;38.99;0.2;0.56;8.6
Nuez;592.04;63.28;14.0;3.3
Nuez moscada;544.84;36.3;5.8;49.29
Nuez, cruda, con cáscara;592.04;59.0;14.0;3.3
Oca, sin piel, asada;274.51;17.672;29.1;0.0
Orégano, seco;415.81;10.3;11.0;68.92
Ostra, cruda;63.85;2.21;8.145;2.76
Paella;171.88;5.74;12.37;17.44
Paella marinera;122.01;0.62;3.55;25.13
Palmera;533.46;30.0;5.0;61.0
Palmito, en conserva;46.53;0.3;2.8;8.0
Palometa, cruda;125.48;1.8;20.0;0.0
Palomitas de maíz, sin aceite, sin sal;341.47;4.2;12.0;62.9
Pan blanco, de barra;238.84;1.6;8.3;47.0
Pan blanco, de barra, sin sal;261.67;1.14925;8.0;53.9
Pan blanco, de molde, tostado;248.06;3.7;7.3;45.7
Pan blanco, frito;259.24;1.6;8.82;51.5
Pan blanco, tipo "baguette";269.79;1.14925;8.0;55.9
Pan blanco, tostado;303.68;2.5;10.1;59.2
Pan blanco, tostado sin sal;303.68;2.5;10.1;59.2
Pan de avena;270.1;4.4;8.4;48.5
Pan de cebada;197.85;1.1;6.4;39.9
Pan de centeno;220.16;1.0;6.21;45.8
Pan de leche;414.15;18.3;10.0;52.1
Pan de maíz;313.12;10.0;7.2;48.1
Pan integral;249.59;3.0;10.9;44.0
Pan integral, de molde, tostado;249.59;3.0;10.9;44.0
Pan integral, sin sal;249.59;3.0;10.9;44.0
Pan integral, tostado;267.4;2.9;10.8;48.7
Pan rallado;257.81;1.6;8.47;51.5
Pan tostado integral;303.68;2.5;10.1;59.2
Pan, tipo hamburguesa;265.2;4.7;7.54;47.5
Panceta, frita;734.43;80.9;4.68;0.0
Panga, cruda;66.28;1.2;13.4;0.3
Papaya, cruda;33.26;0.0;0.5;7.6
Paraguaya;45.98;0.1;0.9;10.2
Pasta alimenticia, con huevo, cruda;372.98;4.1791;13.5;69.2
Pasta alimenticia, con huevo, hervida;125.34;1.49254;4.7;22.9
Pasta alimenticia, con vegetales, cruda;338.67;2.0;12.0;67.0
Pasta alimenticia, cruda;351.67;1.44776;12.5;70.9
Pasta alimenticia, integral, cruda;345.53;2.5;13.4;66.2
Pasta alimenticia, integral, hervida;121.32;0.9;4.7;23.2
Pasta alimenticia, rellena con carne, hervida;100.48;3.3682;4.7;12.7
Pasta de fruta;256.79;0.0;1.0;62.2
Pasta de sésamo;590.51;58.0;18.2;0.9
Pastas de te;346.44;8.3;8.9;58.3
Pastel;399.67;20.2;5.2;49.2
Pastel con fruta confitada;367.28;13.0;5.1;57.0
Pastel de chocolate;437.88;27.9417;5.187;41.77
Pastel de manzana;381.86;15.2;3.5;57.4
Patata, asada;205.46;0.1;4.29;46.06
Patata, cruda;72.47;0.2;2.2;15.2
Patata, frita con aceite s/e, sin sal;288.77;17.125;3.8;30.0
Patata, hervida;74.9;0.2;2.38;15.62
Patata, prefrita, congelada;269.27;13.5;4.1;32.79
Patata, salteada con aceite girasol;134.07;7.838;1.946;13.992
Patatas chips, "lights";457.4;22.25;7.05;57.0991
Patatas, fritas, chips;536.16;34.9;6.5;49.5
Pate de higado de cerdo, 30% de grasa;338.07;29.5;14.0;5.0
Paté de pimienta;288.81;28.0;11.9;11.3
Pato, entero, asado;188.61;9.84127;25.0;0.0
Pato, entero, crudo;137.52;6.5;19.7;0.0
Pavo, crudo;157.16;8.5;20.18;0.0
Pavo, fiambre;146.92;9.4;15.3;0.4
Pavo, fiambre, bajo en grasa;100.12;0.8;19.3;3.6
Pavo, muslo, con piel, crudo;150.72;8.35979;18.9;0.0
Pavo, pechuga, con piel, crudo;106.76;0.99;24.12;0.0
Pavo, pechuga, sin piel, a la plancha;144.88;2.6455;29.9;0.0
Pepinillos en vinagre;15.67;0.1;1.04;2.6
Pepino;11.85;0.1;0.7;2.0
Pera;44.69;0.0;0.4;10.6
Pera, enlatada en almíbar;61.5;0.2;0.2;14.5
Perca, al horno;97.49;1.1;21.6;0.0
Perca, cruda;89.72;1.6;18.6;0.0
Percebe;59.68;0.5;13.6;0.0
Perdiz, cruda;111.41;2.32;22.37;0.0
Perejil, fresco;34.66;1.3;3.0;2.7
Pescadilla, congelada, cruda;55.13;0.835979;11.75;0.0
Pescadilla, rebozada en harina, frita;176.69;10.2857;18.1;3.0
Pescado, genérico;95.82;1.6;20.1;0.0
Petit líquido, sabor fresa;79.13;1.0;2.8;14.5
Petit suïsse, cereales y fruta;165.27;7.8;7.2;16.5
Petit suisse, chocolate;174.43;6.4;4.3;24.7
Petit suisse, fresa;127.25;3.5;7.0;16.7
Petit Suisse, natural azucarado;121.33;3.75;7.33333;14.3667
Pez espada, crudo;110.28;4.2;18.0;0.0
Pez espada, emperador, plancha;147.28;8.71;16.01;1.28
Pichón, sin piel, asado;176.86;3.0;37.0;0.0
Pijota, cruda;64.39;1.8;11.93;0.0
Pimentón, en polvo;329.49;13.0;14.8;38.0
Pimienta, blanca;55.45;2.1;10.4;42.4
Pimienta, negra;54.97;3.3;11.0;38.3
Pimiento morrón, en conserva;29.5;0.4;1.19;5.2
Pimiento rojo, crudo;28.87;0.6;1.3;4.5
Pimiento, frito;20.09;0.2;0.88;3.63
Piña;48.76;0.0;0.5;11.5
Piña en almíbar;65.07;0.11;0.375;15.4
Piña, enlatada en su jugo;49.35;0.0;0.3;11.8447
Piñon;679.78;62.61;14.0;4.0
Piñón, crudo, con cáscara;679.37;68.6;14.0;3.9
Pipa de calabaza;600.1;47.33;30.23;10.71
Pipa de girasol;571.22;43.0;27.0;20.0
Pipas de girasol, peladas, con sal;624.39;56.8;17.25;12.8
Pistacho;591.61;49.2;17.6;15.7
Pizza, precocinada;210.18;9.8;8.2;22.2
Plátano;88.79;0.3;1.2;20.0
Platija, al vapor;101.49;2.74714;19.0;0.0
Platija, cruda;82.42;1.23;17.6075;0.0
Pollo empanado, frito;226.79;15.12;17.57;5.34
Pollo, ala, con piel, cruda;215.7;15.97;18.33;0.0
Pollo, entero, con piel, asado;176.67;5.0;32.6;0.0
Pollo, entero, con piel, crudo;166.52;9.25;20.85;0.0
Pollo, fiambre;139.52;5.6;19.85;2.3
Pollo, fiambre, bajo en grasa;86.57;0.6;18.3;1.7
Pollo, frito;201.6;14.61;17.08;0.74
Pollo, muslo, con piel, asado;226.24;13.5;26.3;0.0
Pollo, muslo, con piel, crudo;109.3;3.4;19.5;0.0
Pollo, parte sin especificar;165.75;9.6;19.9;0.0
Pollo, pechuga, con piel, crudo;104.47;1.2;23.1;0.0
Pollo, pechuga, plancha;145.03;6.2;22.2;0.0
Pomelo;25.67;0.1;0.7;5.4
Preparado lácteo con omega 3;52.59;1.95;3.5;5.2
Pudding de pasas;296.25;9.7;4.6;47.2
Puerro, crudo y congelado;24.19;0.3;1.6;3.7
Pulmón, de cerdo, crudo;81.26;2.72;14.08;0.0
Pulmón, de cordero, crudo;90.85;2.6;16.7;0.0
Pulmón, de ternera, crudo;87.93;2.5;16.2;0.0
Pulpo;90.8;1.4;17.9;1.4
Pulpo, hervido;68.62;0.95;13.39;1.43
Puré de patata y queso, en copos;460.11;1.1;10.9;70.5
Puré de patata, con verduras, en copos;359.97;4.5;4.0;74.8
Puré de patata, en copos;359.95;0.8;8.2;78.65
Puré de patatas y champiñones, en copos;387.19;4.5;10.3;75.2
Puré, de patata, con leche;94.45;3.375;2.2;13.7
Queso afuega'l pitu;467.49;40.56;26.78;0.0
Queso ahumado de aliva;406.12;34.13;25.67;0.0
Queso azul;349.38;29.8;21.13;0.0
Queso brie;341.37;30.7;17.2;0.0
Queso cabra, curado;462.33;39.6;27.6;0.0
Queso cabrales;375.65;32.6;21.5;0.0
Queso Camembert 20-30% MG/ES;199.74;11.2381;24.7;0.0
Queso camembert 60% mg/es;348.51;33.0688;13.8;0.0
Queso cantabria;354.46;30.19;21.53;0.0
Queso casín;366.15;30.81;23.06;0.0
Queso Castellano;457.32;39.75;26.04;0.0
Queso cebreiro;257.14;22.25;14.86;0.0
Queso Cheddar;403.16;33.5979;26.0;0.1
Queso curado, genérico;448.08;34.0;35.77;0.51
Queso de aracena;388.43;33.88;21.86;0.0
Queso de arzúa;395.33;34.5;22.21;2.0
Queso de bola;334.37;28.3;20.7;0.0
Queso de cádiz;306.49;26.88;16.93;0.0
Queso de Castilla-La Mancha, oveja y cabra;404.75;35.7672;21.77;0.0
Queso de Castilla-La Mancha, oveja, vaca y cabra;411.31;35.7143;23.5;0.0
Queso de castilla-león, oveja y vaca;408.31;35.7884;22.6;0.0
Queso de murcia, al vino;437.97;38.88;23.17;0.0
Queso de tenerife;340.97;29.69;19.3;0.0
Queso de tiétar;396.79;35.0;21.48;0.0
Queso edam;334.37;28.3;20.7;0.0
Queso emmental;365.61;28.8;27.3;0.0
Queso en porciones;308.8;25.5;18.0;2.5
Queso flor de guía;385.23;31.06;27.21;0.0
Queso fresco de burgos;196.73;15.4;12.4;2.5
Queso fresco, cabra;296.57;23.9333;19.8;1.1
Queso fresco, desnatado, con frutas;95.96;0.1;8.1;15.3
Queso fundido, extragraso (>60% MG/ES);323.45;31.2;9.3;2.4
Queso gata-hurdes;383.37;33.63;21.16;0.0
Queso gaztazarra;326.96;28.5;18.44;0.0
Queso Gouda;325.03;27.4;20.36;0.0
Queso grazalema;374.67;32.31;21.89;0.0
Queso Gruyer;373.41;31.3;23.42;0.36
Queso herreño;365.35;30.25;24.08;0.0
Queso Ibores;400.72;34.31;23.95;0.0
Queso Mahón;404.58;34.31;24.9;0.0
Queso majorero;358.5;28.75;25.66;0.0
Queso manchego;387.76;30.4;28.77;0.5
Queso manchego, en aceite;465.42;40.455;26.5;0.0
Queso mozzarella;221.61;16.1;19.5;0.0
Queso munster;331.48;28.709;19.1;0.0
Queso para untar;359.37;32.4;15.63;2.3
Queso para untar, con finas hierbas;250.36;23.9;6.5;3.1
Queso para untar, con salmón;257.15;24.3;7.3;3.1
Queso para untar, natural, bajo en calorías;141.09;13.0;14.2;4.2
Queso parmesano;365.58;26.5;32.3;0.0
Queso pasiego;294.48;26.44;14.93;0.0
Queso pedroches;337.26;27.0;24.24;0.0
Queso peñamellera;363.16;30.38;23.26;0.0
Queso picón;384.1;33.0;22.71;0.0
Queso porrúa;379.64;32.0;23.79;0.0
Queso Raclette;354.81;28.3598;25.6;0.0
Queso rallado, genérico;393.25;32.1;26.92;0.0
Queso roquefort;352.63;32.8;15.4;0.0
Queso San Simón;441.23;37.88;26.15;0.0
Queso semicurado, genérico;388.7;30.4;29.0;0.5
Queso serrat;409.06;35.63;23.13;0.0
Queso servilleta;322.74;26.31;22.17;0.0
Queso Tetilla;372.51;32.19;21.62;0.0
Queso tierno, genérico;330.26;25.4;26.0;0.0
Queso torta del casar;360.49;32.38;18.25;0.0
Queso tupí;606.92;59.81;19.2;0.0
Queso Zamorano;481.9;42.19;26.78;0.0
Quinoa, cruda;305.08;5.55555;13.8;49.195
Rábano;15.65;0.3;0.6;2.6
Rabo de toro;199.38;14.0;18.6;0.0
Rape, a la parrilla;94.69;0.6;22.0;0.0
Rape, crudo;69.91;0.6;15.9;0.0
Rape, plancha;86.76;2.0;17.0;0.0
Raya, cruda;97.93;1.26;20.56;0.8
Refresco "tipo gaseosa";0.0;0.0;0.0;0.0
Refresco con gas, sabor cola, sin cafeina;43.68;0.0;0.0;10.75
Refresco con gas, sabor cola, sin cafeina, bajo en calorías;0.19;0.0;0.1;0.1
Refresco de té;37.34;0.0;0.1;9.09
Refresco de té, bajo en calorías;0.41;0.0;0.1;0.0
Refresco tipo "tónica";37.38;0.0;0.0;9.2
Refresco, con gas, sabor naranja;43.88;0.0;0.0;10.8
Refresco, sabor cola;44.08;0.0;0.0;10.85
Refresco, sabor cola, bajo en calorías;0.41;0.0;0.0;0.1
Refresco, sabor limón, con gas;46.06;0.0;0.0;11.3361
Refresco, sabor naranja, sin gas;38.46;0.0;0.1;9.365
Regaliz;323.16;1.9;3.9;71.5
Remolacha, en conserva;29.4;0.2;1.2;5.6
Repollo;25.88;0.4;1.8;3.7
Requesón;101.45;4.3;12.31;3.3
Riñón, de cordero, crudo;94.78;2.99866;16.8;0.0
Riñón, de ternera, crudo;106.5;4.32396;16.8;0.0
Rodaballo;97.25;3.6;16.1;0.0
Rollito de primavera;250.11;11.94;8.28;27.29
Romero;343.26;15.2;5.0;46.4
Ron;231.5;0.0;0.0;0.0
Rosquilla;348.73;13.2;7.8;49.3
Rúcula;31.15;0.66;2.58;3.65
Sal de mar;0.0;0.0;0.0;0.0
Sal yodada;0.0;0.0;0.0;0.0
Salami;433.1;40.2;17.8;1.3
Salchicha de pollo fresca;305.46;28.1;13.12;0.9
Salchicha, fresca;305.46;28.1;13.12;0.9
Salchicha, tipo "frankfurt";286.81;26.0;12.7;1.3
Salchicha, tipo país, a la plancha;384.04;34.5;18.57;0.86
Salchicha, tipo viena;272.83;25.2;10.3;2.0
Salchichón;419.81;34.7;25.8;2.0
Salema, cruda;103.15;0.95;12.7;7.9
Salmón;180.88;12.0;18.4;0.0
Salmón ahumado;180.14;8.7;25.4;0.0
Salmón, plancha;179.35;11.0;20.2;0.0
Salmonete;90.01;3.7;14.1;0.0
Salsa agridulce;120.47;2.38;0.48;23.99
Salsa al curry;77.9;2.3;0.7;9.1
Salsa al roquefort;450.11;47.4874;7.23;0.1942
Salsa barbacoa;176.86;1.8;1.8;37.81
Salsa bechamel;151.63;10.3;4.1;10.8
Salsa boloñesa;144.48;11.1;8.0;3.4
Salsa carbonara;303.32;29.9394;7.481;2.01
Salsa de queso;109.61;6.1;5.3;8.4
Salsa de soja;63.46;0.1;8.7;6.7
Salsa napolitana;75.69;4.7;1.9;6.5
Salsa siciliana, picante;67.09;4.6;1.3;5.2
Salsa vinagreta, con aceite de oliva;636.19;71.7573;0.2;0.2
Salvado de trigo;189.02;4.25;15.55;21.72
San jacobo, congelado;237.02;13.34;4.14;25.16
Sandía;19.91;0.0;0.4;4.5
Sangría;71.01;0.0;0.2;3.8
Sardina;139.87;7.5;18.1;0.0
Sardina, asada;255.21;21.2;16.67;0.0
Sardina, enlatada, en aceite, escurrida;236.51;15.75;23.93;0.0
Sardina, enlatada, en escabeche;130.52;7.5;15.0;0.8
Sargo, crudo;99.86;4.4;15.0;0.0
Seitán;123.33;2.0;24.0;2.0
Semilla de lino;564.49;42.16;18.29;28.88
Sémola de trigo, cruda;348.19;1.23881;12.6;70.4
Sémola de trigo, hervida;54.59;0.2;2.0;11.0
Sepia;80.35;1.0;17.6;0.0
Sésamo, semilla;559.99;50.0;19.0;10.0
Sesos, de cerdo, crudos;122.66;9.0;10.6;0.0
Sesos, de cordero, crudos;135.25;10.7;10.0;0.0
Sesos, de ternera, crudos;118.31;8.6;10.4;0.0
Seta;26.22;0.3;1.8;4.0
Seta, plancha;13.07;0.49;1.76;0.39
Sidra;50.02;0.0;0.0;6.0
Sobao;436.57;25.2;5.9;46.7
Sobrasada;595.39;61.4;12.9;0.0
Soda;0.0;0.0;0.0;0.0
Sofrito;209.09;20.97;1.11;4.71
Soja, fresca;158.05;6.8;13.0;11.1
Soja, frita;139.96;4.8;13.7;10.3
Soja, germinada, en conserva;13.07;0.1;2.0;1.0
Soja, seca, cruda;350.0;18.625;35.9;9.70344
Soja, seca, remojada, hervida;136.3;7.25;14.0;3.76611
Sopa de sobre maravilla;331.84;3.24;12.59;62.03
Sopa de sobre, sin reconstituir;319.67;4.34;10.99;58.24
Suplemento proteico;391.91;4.0;87.75;0.0
Surimi;90.7;0.7;14.7;6.1
Tabasco;15.21;0.76;1.29;0.8
Tapioca, hervida;126.77;0.0;0.2;31.0
Té, infusión, con leche;37.78;2.36538;1.7;2.45
Tenca, cruda;91.87;4.3;17.7;3.3
Tequila;263.38;0.0;0.0;0.0
Ternera, costilla, cruda;139.72;6.6107;20.0;0.0
Ternera, lomo, crudo, con grasa separable;111.26;3.3;20.2;0.0
Ternera, parte s/e, asada;221.01;11.4376;29.5;0.0
Ternera, parte sin especificar, cruda, con grasa separable;253.56;21.0;16.7;0.0
Ternera, solomillo, asado;156.41;4.63799;28.4;0.0
Ternera, solomillo, sin grasa, crudo;109.12;3.06333;20.19;0.0
Tocino;662.0;71.0;8.4;0.0
Tofu;118.72;6.625;11.5;3.3
Tomate;18.76;0.1;0.9;3.5
Tomate frito;83.82;6.4;1.5;5.2
Tomate, asado;18.89;0.11;0.98;3.43
Tomate, maduro, pelado y triturado, enlatado;36.32;0.5;2.3;5.55
Tomate, maduro, puré;72.47;0.2;4.5;12.9
Tomillo, seco;334.42;7.4;9.1;57.1
Torta de aceite;151.41;6.6;1.9;21.0
Tortilla, a la francesa;169.62;12.2892;14.6;0.4
Trigo, entero, crudo;313.07;2.0;11.7;61.0
Trucha;90.32;3.0;15.7;0.0
Trucha, ahumada;197.54;6.7;21.9;0.0
Trufa, cruda;93.81;0.5;9.0;13.0
Turrón, tipo Alicante;483.69;28.07;13.05;44.9
Uva blanca;67.85;0.0;0.6;16.1
Uva blanca, congelada;69.76;0.16;0.72;16.1
Uva negra, cruda;71.61;0.7;0.6;15.5
Uva pasa;295.99;0.5;2.46;69.3
Vaca/buey, parte s/e, asado;229.7;11.7314;31.0;0.0
Vaca/buey, parte s/e, estofado;195.57;8.33158;30.0;0.0
Vaca/buey, solomillo, a la plancha;165.86;5.8447;28.1;0.0
Vaca/buey, solomillo, crudo;135.28;4.5;23.5;0.0
Vainilla;52.38;0.06;0.06;12.7
Vermut, s/e;139.13;0.0;0.1;13.5
Vieira;85.16;0.9;19.0;0.0
Vieja, cruda;83.22;1.6;12.1;4.9
Vinagre balsámico;71.19;0.0;0.49;17.03
Vinagre de manzana;4.06;0.0;0.4;0.6
Vinagre de vino;4.06;0.0;0.4;0.6
Vino blanco;60.28;0.0;0.1;0.1
Vino dulce, tipo oporto;131.45;0.3;0.3;14.0
Vino rosado;66.4;0.0;0.1;1.4
Vino tinto;70.22;0.0;0.23;0.3
Vodka;232.19;0.0;0.0;0.0
Volador, crudo;87.98;0.3;21.0;0.0
Whisky;244.42;0.0;0.0;0.11
Yogur griego;138.15;10.2;6.4;5.4
Yogur líquido, "tipo actimel";62.57;3.4;3.6;4.4
Yogur líquido, aromatizado sabor s/e;75.96;1.376;2.9;12.8
Yogur líquido, con frutas s/e;87.17;1.534;2.8;14.3
Yogur líquido, entero, con cereales;113.98;2.0;2.9;20.8
Yogur líquido, natural, azucarado;69.61;1.16402;3.0;11.6
Yogur, búlgaro;73.95;3.4;5.0;5.8
Yogur, desnatado, aromatizado sabor s/e;64.13;1.6;5.3;7.0
Yogur, desnatado, con cereales;51.27;0.1;4.2;8.2
Yogur, desnatado, con cereales, manzana y ciruela;70.43;0.2;3.8;13.1
Yogur, desnatado, con cereza y frambuesa;40.25;0.1333;3.965;5.65
Yogur, desnatado, con ciruela, albaricoque y fibra;57.77;0.1;4.1;9.9
Yogur, desnatado, con fresa, grosella y fibra;57.77;0.1;4.1;9.9
Yogur, desnatado, con frutas;70.56;0.2003;3.83;13.1
Yogur, desnatado, con frutas del bosque;40.25;0.1333;3.965;5.65
Yogur, desnatado, con frutas tropicales;40.25;0.1333;3.965;5.65
Yogur, desnatado, con manzana;40.25;0.1333;3.965;5.65
Yogur, desnatado, con melocotón y maracuyá;40.25;0.1333;3.965;5.65
Yogur, desnatado, con melocotón, frambuesa y fibra;57.77;0.1;4.1;9.9
Yogur, desnatado, con piña y pomelo;40.25;0.1333;3.965;5.65
Yogur, desnatado, sabor natural;45.9;0.32;4.3;6.3
Yogur, desnatado, sabor natural, azucarado;77.01;0.3;4.5;13.8
Yogur, desnatado, sabor vainilla;106.93;1.8;5.3;17.1
Yogur, enriquecido, con frutas;121.53;2.9;2.6;21.0
Yogur, enriquecido, natural;63.34;3.9;3.2;3.9
Yogur, enriquecido, natural, azucarado;99.28;3.6;3.1;13.5
Yogur, enriquecido, natural, con nata;66.11;3.8;3.1;4.9
Yogur, enriquecido, sabor, s/e;197.2;3.6;3.7;37.0
Yogur, entero, con cereales y fresas;91.35;3.3;3.5;11.8
Yogur, entero, con fresas;120.03;2.5;2.7;21.4
Yogur, entero, con frutas del bosque;90.06;3.2;3.3;11.9
Yogur, líquido, desnatado, natural;64.82;0.3;3.0;12.3
Yogur, líquido, entero, con fresas;90.39;3.1;3.3;12.2
Yogur, líquido, entero, con frutas;90.06;3.2;3.3;11.9
Yogur, líquido, entero, sabor fresa;115.39;3.4;5.4;15.6
Yogur, líquido, entero, sabor fresa y plátano;115.39;3.4;5.4;15.6
Yogur, líquido, entero, sabor frutas del bosque;115.39;3.4;5.4;15.6
Yogur, líquido, entero, sabor piña y coco;115.39;3.4;5.4;15.6
Zamburiñas;77.51;1.0;15.4;1.5
Zanahoria, cruda;34.35;0.3;0.8;7.0
Zumo de grosella negra;34.13;0.0;0.8;7.6
Zumo de grosella roja;55.26;0.0;0.4;13.2
Zumo de lima, envasado;15.33;0.125;0.3;3.2
Zumo de limón, fresco;17.14;0.1;0.4;3.6
Zumo de mango;41.99;0.2;0.1;9.8
Zumo de manzana;45.1;0.0;0.1;11.0
Zumo de naranja;41.18;0.2;0.7;9.0
Zumo de piña;45.98;0.1;0.4;10.7
Zumo de piña y uva;55.26;0.0;0.6;13.0
Zumo de pomelo, envasado;37.79;0.0;0.5;8.8
Zumo de tomate, fresco;15.56;0.05;0.76;2.96
Zumo de uva;0.0;0.0;0.0;0.0
Zumo de uva y melocotón;51.2;0.0;0.6;12.0
Zumo de zanahoria, fresco;23.19;0.15;0.63;4.75
