name;calories;fat;carbohydrate;protein
Bogavante, hervido;103.69;1.57143;22.1;0.0
Bollería, genérico;446.37;23.0;7.0;52.8
Bombón;475.14;21.2;4.8;66.0
Boniato, crudo;100.98;0.3;1.2;23.0
Bonito del norte, al vapor;163.46;4.7;30.0;0.0
Bonito del norte, enlatado en aceite de soja;205.11;8.4;32.2;0.0
Bonito en aceite vegetal;198.7;11.5;23.875;0.0
Bonito, enlatado en aceite, escurrido;203.56;4.73;26.23;0.0
Boquerón;127.22;6.3;17.6;0.0
Boquerón, frito;136.72;6.0;20.09;0.5
Borraja;25.94;0.7;1.8;3.06
Breca, cruda;75.48;1.59;15.4;1.0
Brécol, crudo;25.48;0.4;3.0;2.4
Brécol, hervido;24.14;0.8;3.1;1.1
Butifarra;239.84;20.0;10.0;5.5
Caballa, al horno;247.66;20.3333;16.7;0.0
Caballa, cruda;181.13;11.9;18.68;0.0
Caballa, enlatada en aceite, escurrida;207.34;16.6;14.9;0.0
Cabracho o rascacio, crudo;92.11;1.68571;19.0;0.0
Cabrito lechal, costillar, asado;263.7;19.5;22.46;0.0
Cabrito lechal, costillar, crudo;224.19;17.49;17.11;0.0
Cabrito lechal, espalda, cruda;204.63;14.58;18.63;0.0
Cabrito lechal, pierna, cruda;189.41;12.79;18.78;0.0
Cabrito, parte s/e, crudo, con grasa separable;113.79;4.0;19.3;0.0
Cacahuete, crudo, con cáscara;541.44;43.06;25.23;7.91
Cacahuete, frito, salado;589.99;50.3138;26.8;8.9
Cacahuete, tostado, salado;597.08;53.0;24.5;7.1
Cacao en polvo, azucarado;388.46;4.0;5.88;81.02
Cacao, en polvo, azucarado, bajo en calorías;384.08;8.1;9.8;67.1
Café, con leche;37.78;2.36538;1.7;2.45
Café, en grano o molido, descafeinado;301.96;15.4;10.4;30.4
Café, en polvo, sin reconstituir;110.33;0.3;18.5;8.0
Café, en polvo, soluble;119.86;0.0;18.5;11.0
Café, infusión;2.08;0.18;0.12;0.0
Café, infusión, descafeinado;2.08;0.18;0.12;0.0
Café, sucedáneo, soluble;408.75;3.4;12.3;80.9
Calabacín;17.21;0.2;1.8;2.0
Calabacín, asado;17.75;0.39;1.76;1.76
Calabaza, cruda;32.05;0.5;1.2;5.6
Calabaza, hervida;12.3;0.15;0.6;2.1
Calamar, asado;80.89;1.3;16.58;0.5
Calamar, conserva;88.79;2.0;17.0;0.5
Calamar, crudo;71.49;1.47;14.0;1.09091
Calamares en aceite vegetal;215.89;13.8;22.5;0.6
Caldo vegetal;104.11;2.4;11.3;9.1
Callos de ternera;94.69;3.95;14.56;0.0
Camarón;82.91;0.6;17.6;1.5
Canela, en polvo;371.59;3.2;3.9;80.59
Canelones;191.04;12.0;11.2;9.7
Cangrejo;29.64;5.1;19.5;0.0
Cangrejo de río crudo;124.33;5.1;19.5;0.0
Cangrejo, en conserva;98.38;1.61429;19.7;1.0
Canonigos;13.7;0.4;1.8;0.7
Caqui;66.78;0.2;0.7;15.3
Caracol;85.92;1.4;16.1;2.0
Caramelo;387.62;0.0;0.4;95.0
Cardo;21.68;0.2;1.4;3.5
Cardo, tallo, en conserva;13.81;0.11;0.76;2.4
Carne de cerdo de capa blanca, cabezada, parte magra, cruda;164.15;8.5;21.9;0.0
Carne de cerdo de capa blanca, cabezada, partes grasa y magra, crudo;252.82;19.4;20.0;0.0
Carne de cerdo de capa blanca, chuleta, parte magra, cruda;137.26;5.0;22.9;0.0
Carne de cerdo de capa blanca, chuleta, partes grasa y magra, cruda;158.95;7.43;22.95;0.0
Carne de cerdo de capa blanca, jamón, parte magra, crudo;126.24;2.95;24.65;0.0
Carne de cerdo de capa blanca, jamón, partes grasa y magra, crudo;128.22;3.9;23.07;0.0
Carne de cerdo de capa blanca, lomo, parte magra, crudo;123.28;2.5;24.9;0.0
Carne de cerdo de capa blanca, lomo, partes grasa y magra, crudo;141.06;4.57;24.77;0.0
Carne picada;243.13;20.5;15.22;0.0
Carpa, al horno;148.58;7.42857;20.4;0.0
Carpa, cruda;115.89;4.95;17.75;0.0
Castaña, cruda;178.53;2.52;2.65;36.5
Castaña, tostada;224.43;5.3;4.0;39.7
Cava;69.98;0.0;0.2;1.5
Caviar;274.5;17.9;24.6;4.0
Cebada, cruda;321.68;2.1;10.6;64.0
Cebolla;26.11;0.0;1.125;5.3
Cebolla, asada;37.97;0.2;1.17;7.74
Cebolla, hervida;18.36;0.1;0.6;3.7
